"","X.","Nicotinamide..Azithromycin..Nitazoxanide","Nicotinamide..Placebo","Placebo..Azithromycin..Nitazoxanide","Placebo..Placebo","Overall"
"63","  Median [Min, Max]","1.00 [1.00, 4.00]","4.00 [1.00, 4.00]","4.00 [1.00, 4.00]","4.00 [1.00, 4.00]","4.00 [1.00, 4.00]"
"64","dvseason_base","","","","",""
"65","  Post-Harvest","33 (62.3%)","28 (58.3%)","30 (66.7%)","30 (55.6%)","121 (60.5%)"
"66","  Pre-Harvest","20 (37.7%)","20 (41.7%)","15 (33.3%)","24 (44.4%)","79 (39.5%)"
"67","wtkg_base","","","","",""
"68","  Mean (SD)","3.20 (0.567)","3.21 (0.405)","3.15 (0.446)","3.19 (0.581)","3.19 (0.507)"
"69","  Median [Min, Max]","3.10 [2.24, 5.72]","3.17 [2.21, 4.25]","3.20 [2.07, 4.10]","3.24 [2.06, 4.20]","3.17 [2.06, 5.72]"
"70","lencm_base","","","","",""
"71","  Mean (SD)","49.3 (2.21)","48.9 (2.07)","48.7 (1.73)","49.4 (2.56)","49.1 (2.19)"
"72","  Median [Min, Max]","49.0 [45.2, 57.0]","49.0 [45.0, 53.5]","49.0 [42.5, 51.6]","49.0 [43.0, 59.0]","49.0 [42.5, 59.0]"
"73","bmi_base","","","","",""
"74","  Mean (SD)","13.2 (2.20)","13.4 (1.41)","13.3 (1.72)","13.0 (1.89)","13.2 (1.83)"
"75","  Median [Min, Max]","13.1 [8.57, 22.0]","13.3 [10.9, 16.8]","13.1 [9.37, 17.8]","13.3 [9.33, 16.7]","13.1 [8.57, 22.0]"
"76","hcircm_base","","","","",""
"77","  Mean (SD)","34.7 (1.44)","34.7 (1.11)","34.5 (1.19)","34.7 (1.42)","34.7 (1.30)"
"78","  Median [Min, Max]","34.5 [32.0, 40.0]","34.8 [32.2, 37.5]","34.0 [32.0, 37.0]","34.6 [31.7, 37.6]","34.5 [31.7, 40.0]"
"79","waz_base","","","","",""
"80","  Mean (SD)","-0.445 (1.12)","-0.374 (0.784)","-0.613 (0.905)","-0.518 (1.20)","-0.486 (1.02)"
"81","  Median [Min, Max]","-0.660 [-2.67, 3.76]","-0.390 [-2.61, 1.05]","-0.440 [-3.01, 1.27]","-0.295 [-3.17, 1.80]","-0.495 [-3.17, 3.76]"
"82","haz_base","","","","",""
"83","  Mean (SD)","-0.639 (1.16)","-0.826 (1.06)","-1.07 (0.857)","-0.625 (1.27)","-0.777 (1.11)"
"84","  Median [Min, Max]","-0.790 [-3.38, 3.47]","-0.650 [-2.94, 1.44]","-0.880 [-3.57, 0.810]","-0.680 [-3.72, 4.12]","-0.775 [-3.72, 4.12]"
"85","whz_base","","","","",""
"86","  Mean (SD)","-0.242 (2.00)","0.177 (1.27)","-0.0109 (1.33)","-0.395 (1.76)","-0.130 (1.64)"
"87","  Median [Min, Max]","-0.170 [-6.58, 4.77]","0.185 [-2.04, 2.92]","-0.0400 [-3.54, 3.46]","-0.120 [-6.62, 2.64]","-0.0500 [-6.62, 4.77]"
"88","  Missing","0 (0%)","0 (0%)","1 (2.2%)","1 (1.9%)","2 (1.0%)"
"89","baz_base","","","","",""
"90","  Mean (SD)","-0.215 (1.67)","0.0233 (1.08)","-0.130 (1.32)","-0.335 (1.48)","-0.171 (1.41)"
"91","  Median [Min, Max]","-0.320 [-4.13, 5.93]","-0.00500 [-1.94, 2.47]","-0.210 [-3.29, 3.04]","-0.0300 [-3.32, 2.50]","-0.130 [-4.13, 5.93]"
"92","agedays_base","","","","",""
"93","  Mean (SD)","6.96 (3.54)","6.69 (3.30)","7.40 (3.52)","7.26 (3.29)","7.08 (3.40)"
"94","  Median [Min, Max]","6.00 [1.00, 15.0]","5.50 [1.00, 13.0]","7.00 [1.00, 14.0]","6.50 [2.00, 15.0]","6.50 [1.00, 15.0]"
"95","feeding_base","","","","",""
"96","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"97","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"98","dur_bf_base","","","","",""
"99","  Mean (SD)","517 (49.4)","504 (59.7)","518 (39.6)","521 (35.6)","515 (47.0)"
"100","  Median [Min, Max]","540 [300, 540]","540 [300, 540]","540 [390, 540]","540 [360, 540]","540 [300, 540]"
"101","dur_ebf_base","","","","",""
"102","  Mean (SD)","158 (27.1)","159 (22.4)","153 (29.9)","155 (26.5)","156 (26.5)"
"103","  Median [Min, Max]","150 [60.0, 180]","150 [90.0, 180]","150 [60.0, 180]","150 [60.0, 180]","150 [60.0, 180]"
"104","bmcol_fl_1m","","","","",""
"105","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"106","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"107","bmcol_fl_5m","","","","",""
"108","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"109","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"110","agedays_1m","","","","",""
"111","  Mean (SD)","30.0 (0)","30.0 (0)","30.0 (0)","30.0 (0)","30.0 (0)"
"112","  Median [Min, Max]","30.0 [30.0, 30.0]","30.0 [30.0, 30.0]","30.0 [30.0, 30.0]","30.0 [30.0, 30.0]","30.0 [30.0, 30.0]"
"113","agedays_5m","","","","",""
"114","  Mean (SD)","152 (0)","152 (0)","152 (0)","152 (0)","152 (0)"
"115","  Median [Min, Max]","152 [152, 152]","152 [152, 152]","152 [152, 152]","152 [152, 152]","152 [152, 152]"
"116","lencm_3m","","","","",""
"117","  Mean (SD)","58.4 (1.87)","58.7 (1.80)","58.5 (2.27)","58.7 (2.51)","58.6 (2.12)"
"118","  Median [Min, Max]","58.1 [55.0, 63.0]","59.0 [55.0, 62.5]","58.2 [52.0, 64.0]","58.2 [53.0, 68.0]","58.2 [52.0, 68.0]"
"119","  Missing","1 (1.9%)","0 (0%)","0 (0%)","1 (1.9%)","2 (1.0%)"
"120","lencm_6m","","","","",""
"121","  Mean (SD)","64.0 (2.02)","64.2 (2.50)","64.1 (2.52)","64.4 (2.74)","64.2 (2.45)"
"122","  Median [Min, Max]","64.0 [60.0, 68.0]","64.0 [59.0, 68.2]","64.0 [59.0, 69.8]","64.0 [59.0, 70.0]","64.0 [59.0, 70.0]"
"123","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"124","lencm_9m","","","","",""
"125","  Mean (SD)","67.7 (2.10)","67.7 (2.61)","67.6 (2.11)","68.0 (2.61)","67.8 (2.37)"
"126","  Median [Min, Max]","68.0 [62.0, 71.2]","68.0 [59.9, 72.0]","67.0 [64.0, 72.3]","68.0 [62.0, 74.0]","68.0 [59.9, 74.0]"
"127","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"128","lencm_12m","","","","",""
"129","  Mean (SD)","70.9 (2.04)","70.2 (2.00)","70.2 (1.93)","70.7 (2.89)","70.5 (2.27)"
"130","  Median [Min, Max]","71.0 [67.0, 75.0]","70.0 [66.0, 74.0]","70.0 [66.0, 74.0]","71.0 [62.0, 77.0]","70.1 [62.0, 77.0]"
"131","  Missing","10 (18.9%)","6 (12.5%)","7 (15.6%)","8 (14.8%)","31 (15.5%)"
"132","lencm_15m","","","","",""
"133","  Mean (SD)","73.1 (2.38)","73.3 (2.93)","73.2 (2.39)","73.8 (2.92)","73.3 (2.66)"
"134","  Median [Min, Max]","73.0 [67.2, 78.0]","73.2 [67.1, 82.0]","73.0 [67.2, 78.0]","73.5 [68.0, 81.0]","73.1 [67.1, 82.0]"
"135","  Missing","8 (15.1%)","11 (22.9%)","8 (17.8%)","11 (20.4%)","38 (19.0%)"
"136","lencm_18m","","","","",""
"137","  Mean (SD)","75.9 (2.86)","75.8 (2.81)","75.6 (2.15)","76.1 (3.14)","75.9 (2.77)"
"138","  Median [Min, Max]","76.0 [70.0, 82.2]","75.0 [71.0, 82.0]","75.0 [72.0, 80.1]","75.8 [68.0, 82.0]","75.7 [68.0, 82.2]"
"139","bmi_3m","","","","",""
"140","  Mean (SD)","16.6 (1.81)","16.4 (1.49)","16.7 (1.94)","16.9 (2.03)","16.6 (1.83)"
"141","  Median [Min, Max]","16.7 [11.9, 19.8]","16.2 [13.8, 20.0]","16.5 [11.7, 22.7]","17.0 [12.1, 21.9]","16.7 [11.7, 22.7]"
"142","  Missing","3 (5.7%)","0 (0%)","1 (2.2%)","1 (1.9%)","5 (2.5%)"
"143","bmi_6m","","","","",""
