"","X.","Nicotinamide..Azithromycin..Nitazoxanide","Nicotinamide..Placebo","Placebo..Azithromycin..Nitazoxanide","Placebo..Placebo","Overall"
"252","  Median [Min, Max]","0.210 [-2.12, 2.58]","0.0300 [-2.10, 2.76]","-0.100 [-2.66, 3.12]","0.0700 [-1.83, 2.41]","0.0700 [-2.66, 3.12]"
"253","baz_3m","","","","",""
"254","  Mean (SD)","-0.0510 (1.21)","-0.159 (1.02)","-0.0702 (1.34)","0.108 (1.35)","-0.0387 (1.23)"
"255","  Median [Min, Max]","-0.0300 [-3.40, 2.07]","-0.130 [-1.82, 2.20]","-0.160 [-3.60, 3.60]","0.230 [-3.88, 3.05]","-0.0200 [-3.88, 3.60]"
"256","  Missing","3 (5.7%)","0 (0%)","1 (2.2%)","1 (1.9%)","5 (2.5%)"
"257","baz_6m","","","","",""
"258","  Mean (SD)","0.129 (1.05)","0.214 (1.35)","0.0760 (1.41)","0.271 (1.18)","0.176 (1.24)"
"259","  Median [Min, Max]","0.275 [-2.26, 2.97]","0.180 [-3.92, 4.62]","-0.0900 [-3.27, 3.15]","0.150 [-2.24, 3.63]","0.110 [-3.92, 4.62]"
"260","  Missing","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"261","baz_9m","","","","",""
"262","  Mean (SD)","0.160 (0.972)","0.151 (0.921)","0.0776 (1.09)","0.312 (1.18)","0.180 (1.04)"
"263","  Median [Min, Max]","0.170 [-2.84, 2.38]","0.170 [-1.69, 3.34]","-0.0900 [-2.79, 2.36]","0.360 [-2.77, 2.77]","0.180 [-2.84, 3.34]"
"264","  Missing","2 (3.8%)","0 (0%)","0 (0%)","0 (0%)","2 (1.0%)"
"265","baz_12m","","","","",""
"266","  Mean (SD)","0.460 (0.869)","0.310 (0.757)","0.170 (1.06)","0.448 (0.894)","0.351 (0.897)"
"267","  Median [Min, Max]","0.510 [-1.54, 2.34]","0.295 [-1.44, 1.86]","0.0400 [-2.30, 2.66]","0.260 [-1.06, 2.92]","0.280 [-2.30, 2.92]"
"268","  Missing","12 (22.6%)","6 (12.5%)","7 (15.6%)","11 (20.4%)","36 (18.0%)"
"269","baz_15m","","","","",""
"270","  Mean (SD)","0.426 (1.15)","0.260 (1.17)","0.278 (1.26)","0.444 (0.970)","0.359 (1.13)"
"271","  Median [Min, Max]","0.400 [-2.22, 3.09]","0.270 [-2.24, 3.12]","0.300 [-3.15, 4.04]","0.590 [-2.72, 2.23]","0.325 [-3.15, 4.04]"
"272","  Missing","8 (15.1%)","11 (22.9%)","8 (17.8%)","11 (20.4%)","38 (19.0%)"
"273","baz_18m","","","","",""
"274","  Mean (SD)","0.460 (1.03)","0.353 (1.17)","0.280 (1.05)","0.462 (0.850)","0.394 (1.02)"
"275","  Median [Min, Max]","0.490 [-1.94, 2.71]","0.295 [-1.94, 3.17]","0.340 [-2.39, 3.39]","0.505 [-1.31, 2.60]","0.465 [-2.39, 3.39]"
"276","agedays_3m","","","","",""
"277","  Mean (SD)","91.0 (0)","91.0 (0)","91.0 (0)","91.0 (0)","91.0 (0)"
"278","  Median [Min, Max]","91.0 [91.0, 91.0]","91.0 [91.0, 91.0]","91.0 [91.0, 91.0]","91.0 [91.0, 91.0]","91.0 [91.0, 91.0]"
"279","agedays_6m","","","","",""
"280","  Mean (SD)","183 (0)","183 (0)","183 (0)","183 (0)","183 (0)"
"281","  Median [Min, Max]","183 [183, 183]","183 [183, 183]","183 [183, 183]","183 [183, 183]","183 [183, 183]"
"282","agedays_9m","","","","",""
"283","  Mean (SD)","274 (0)","274 (0)","274 (0)","274 (0)","274 (0)"
"284","  Median [Min, Max]","274 [274, 274]","274 [274, 274]","274 [274, 274]","274 [274, 274]","274 [274, 274]"
"285","agedays_12m","","","","",""
"286","  Mean (SD)","365 (0)","365 (0)","365 (0)","365 (0)","365 (0)"
"287","  Median [Min, Max]","365 [365, 365]","365 [365, 365]","365 [365, 365]","365 [365, 365]","365 [365, 365]"
"288","agedays_15m","","","","",""
"289","  Mean (SD)","457 (0)","457 (0)","457 (0)","457 (0)","457 (0)"
"290","  Median [Min, Max]","457 [457, 457]","457 [457, 457]","457 [457, 457]","457 [457, 457]","457 [457, 457]"
"291","agedays_18m","","","","",""
"292","  Mean (SD)","548 (0)","548 (0)","548 (0)","548 (0)","548 (0)"
"293","  Median [Min, Max]","548 [548, 548]","548 [548, 548]","548 [548, 548]","548 [548, 548]","548 [548, 548]"
"294","visit_r_fl_0to6m","","","","",""
"295","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"296","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"297","visit_r_fl_6to18m","","","","",""
"298","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"299","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"300","dur_r_0to6m","","","","",""
"301","  Mean (SD)","180 (0)","180 (0)","180 (0)","180 (0)","180 (0)"
"302","  Median [Min, Max]","180 [180, 180]","180 [180, 180]","180 [180, 180]","180 [180, 180]","180 [180, 180]"
"303","dur_r_6to18m","","","","",""
"304","  Mean (SD)","365 (0)","365 (0)","365 (0)","365 (0)","365 (0)"
"305","  Median [Min, Max]","365 [365, 365]","365 [365, 365]","365 [365, 365]","365 [365, 365]","365 [365, 365]"
"306","bfedfl_r_0to6m","","","","",""
"307","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"308","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"309","exbfed_r_0to6m","","","","",""
"310","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"311","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"312","exbfdu_r_0to6m","","","","",""
"313","  Mean (SD)","158 (27.1)","159 (22.4)","153 (29.9)","155 (26.5)","156 (26.5)"
"314","  Median [Min, Max]","150 [60.0, 180]","150 [90.0, 180]","150 [60.0, 180]","150 [60.0, 180]","150 [60.0, 180]"
"315","fever_r_0to6m","","","","",""
"316","  Mean (SD)","0.132 (0.342)","0.188 (0.394)","0.0889 (0.288)","0.0741 (0.264)","0.120 (0.326)"
"317","  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"318","fever_r_6to18m","","","","",""
"319","  Mean (SD)","0.132 (0.342)","0.208 (0.410)","0.0889 (0.288)","0.111 (0.317)","0.135 (0.343)"
"320","  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"321","cough_r_0to6m","","","","",""
"322","  Mean (SD)","0.208 (0.409)","0.229 (0.425)","0.0889 (0.288)","0.259 (0.442)","0.200 (0.401)"
"323","  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"324","cough_r_6to18m","","","","",""
"325","  Mean (SD)","0.377 (0.489)","0.333 (0.476)","0.200 (0.405)","0.278 (0.452)","0.300 (0.459)"
"326","  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"327","diarr_r_0to6m","","","","",""
"328","  Mean (SD)","0.528 (0.504)","0.563 (0.501)","0.644 (0.484)","0.500 (0.505)","0.555 (0.498)"
"329","  Median [Min, Max]","1.00 [0, 1.00]","1.00 [0, 1.00]","1.00 [0, 1.00]","0.500 [0, 1.00]","1.00 [0, 1.00]"
"330","diarr_r_6to18m","","","","",""
"331","  Mean (SD)","0.642 (0.484)","0.625 (0.489)","0.711 (0.458)","0.593 (0.496)","0.640 (0.481)"
"332","  Median [Min, Max]","1.00 [0, 1.00]","1.00 [0, 1.00]","1.00 [0, 1.00]","1.00 [0, 1.00]","1.00 [0, 1.00]"
"333","mhgb_18m","","","","",""
"334","  Mean (SD)","11.0 (1.47)","11.4 (0.929)","11.2 (1.55)","10.8 (0.828)","11.0 (1.09)"
"335","  Median [Min, Max]","11.3 [8.60, 12.5]","11.0 [10.8, 12.5]","11.7 [9.50, 12.5]","10.9 [9.40, 11.6]","11.2 [8.60, 12.5]"
"336","  Missing","48 (90.6%)","45 (93.8%)","42 (93.3%)","47 (87.0%)","182 (91.0%)"
"337","muaccm_18m","","","","",""
"338","  Mean (SD)","14.8 (1.06)","14.8 (1.11)","14.7 (1.07)","14.9 (0.954)","14.8 (1.04)"
"339","  Median [Min, Max]","14.9 [12.5, 17.5]","14.7 [12.5, 18.1]","14.5 [13.0, 17.0]","15.0 [12.3, 17.0]","14.7 [12.3, 18.1]"
"340","muaz_18m","","","","",""
"341","  Mean (SD)","0.104 (0.905)","0.0917 (0.961)","-0.00289 (0.939)","0.164 (0.788)","0.0933 (0.892)"
"342","  Median [Min, Max]","0.270 [-1.83, 2.29]","0.130 [-1.83, 2.69]","-0.220 [-1.72, 1.94]","0.130 [-2.03, 1.94]","0.115 [-2.03, 2.69]"
"343","agedays_18m.1","","","","",""
"344","  Mean (SD)","548 (0)","548 (0)","548 (0)","548 (0)","548 (0)"
"345","  Median [Min, Max]","548 [548, 548]","548 [548, 548]","548 [548, 548]","548 [548, 548]","548 [548, 548]"
"346","bfdu_r_0to18m","","","","",""
"347","  Mean (SD)","517 (49.4)","504 (59.7)","518 (39.6)","521 (35.6)","515 (47.0)"
"348","  Median [Min, Max]","540 [300, 540]","540 [300, 540]","540 [390, 540]","540 [360, 540]","540 [300, 540]"
"349","anti_r_0to18m","","","","",""
"350","  Mean (SD)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)","1.00 (0)"
"351","  Median [Min, Max]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]"
"352","  Missing","11 (20.8%)","6 (12.5%)","11 (24.4%)","10 (18.5%)","38 (19.0%)"
