"datetime","rainfall","lat","lon","study"
"2018-08-28",0.015527950310559,24.8,67.2,"VITAL"
"2018-08-29",0.031444099378882,24.8,67.2,"VITAL"
"2018-08-30",0.00388198757763975,24.8,67.2,"VITAL"
"2018-08-31",0.00116459627329193,24.8,67.2,"VITAL"
"2018-09-01",0.00427018633540373,24.8,67.2,"VITAL"
"2018-09-02",0.0100931677018634,24.8,67.2,"VITAL"
"2018-09-03",0.0128105590062112,24.8,67.2,"VITAL"
"2018-09-04",0.0403726708074534,24.8,67.2,"VITAL"
"2018-09-05",0.0197981366459627,24.8,67.2,"VITAL"
"2018-09-06",0.0248447204968944,24.8,67.2,"VITAL"
"2018-09-07",0.0229037267080745,24.8,67.2,"VITAL"
"2018-09-08",0.0706521739130435,24.8,67.2,"VITAL"
"2018-09-09",0.152562111801242,24.8,67.2,"VITAL"
"2018-09-10",0.0329968944099379,24.8,67.2,"VITAL"
"2018-09-11",0.00892857142857143,24.8,67.2,"VITAL"
"2018-09-12",0.00737577639751553,24.8,67.2,"VITAL"
"2018-09-13",0.00504658385093168,24.8,67.2,"VITAL"
"2018-09-14",0.016304347826087,24.8,67.2,"VITAL"
"2018-09-15",0.00892857142857143,24.8,67.2,"VITAL"
"2018-09-16",0.00815217391304348,24.8,67.2,"VITAL"
"2018-09-17",0.0236801242236025,24.8,67.2,"VITAL"
"2018-09-18",0.0279503105590062,24.8,67.2,"VITAL"
"2018-09-19",0.154891304347826,24.8,67.2,"VITAL"
"2018-09-20",0.016304347826087,24.8,67.2,"VITAL"
"2018-09-21",0.00543478260869565,24.8,67.2,"VITAL"
"2018-09-22",0.0031055900621118,24.8,67.2,"VITAL"
"2018-09-23",0.00271739130434783,24.8,67.2,"VITAL"
"2018-09-24",0.00388198757763975,24.8,67.2,"VITAL"
"2018-09-25",0.00194099378881988,24.8,67.2,"VITAL"
"2018-09-26",0.00271739130434783,24.8,67.2,"VITAL"
"2018-09-27",0.00194099378881988,24.8,67.2,"VITAL"
"2018-09-28",0.00815217391304348,24.8,67.2,"VITAL"
"2018-09-29",0.0124223602484472,24.8,67.2,"VITAL"
"2018-09-30",0.0077639751552795,24.8,67.2,"VITAL"
"2018-10-01",0.0182453416149068,24.8,67.2,"VITAL"
"2018-10-02",0.0104813664596273,24.8,67.2,"VITAL"
"2018-10-03",0.0015527950310559,24.8,67.2,"VITAL"
"2018-10-04",0.0881211180124224,24.8,67.2,"VITAL"
"2018-10-05",0.0399844720496894,24.8,67.2,"VITAL"
"2018-10-06",0.015527950310559,24.8,67.2,"VITAL"
"2018-10-07",0.00543478260869565,24.8,67.2,"VITAL"
"2018-10-08",0.00232919254658385,24.8,67.2,"VITAL"
"2018-10-09",0.0124223602484472,24.8,67.2,"VITAL"
"2018-10-10",0.0100931677018634,24.8,67.2,"VITAL"
"2018-10-11",0.0753105590062112,24.8,67.2,"VITAL"
"2018-10-12",0.00427018633540373,24.8,67.2,"VITAL"
"2018-10-13",0.00388198757763975,24.8,67.2,"VITAL"
"2018-10-14",0.0124223602484472,24.8,67.2,"VITAL"
"2018-10-15",0.0807453416149068,24.8,67.2,"VITAL"
"2018-10-16",0.00271739130434783,24.8,67.2,"VITAL"
"2018-10-17",0.0031055900621118,24.8,67.2,"VITAL"
"2018-10-18",0.133152173913043,24.8,67.2,"VITAL"
"2018-10-19",0.0077639751552795,24.8,67.2,"VITAL"
"2018-10-20",0.121894409937888,24.8,67.2,"VITAL"
"2018-10-21",0.0578416149068323,24.8,67.2,"VITAL"
"2018-10-22",0.0419254658385093,24.8,67.2,"VITAL"
"2018-10-23",0.0881211180124224,24.8,67.2,"VITAL"
"2018-10-24",0.161490683229814,24.8,67.2,"VITAL"
"2018-10-25",0.11723602484472,24.8,67.2,"VITAL"
"2018-10-26",0.107142857142857,24.8,67.2,"VITAL"
"2018-10-27",0.0322204968944099,24.8,67.2,"VITAL"
"2018-10-28",0.0112577639751553,24.8,67.2,"VITAL"
"2018-10-29",0.0271739130434783,24.8,67.2,"VITAL"
"2018-10-30",0.0609472049689441,24.8,67.2,"VITAL"
"2018-10-31",0.142080745341615,24.8,67.2,"VITAL"
"2018-11-01",0.0100931677018634,24.8,67.2,"VITAL"
"2018-11-02",0.164208074534162,24.8,67.2,"VITAL"
"2018-11-03",0.115295031055901,24.8,67.2,"VITAL"
"2018-11-04",0.00077639751552795,24.8,67.2,"VITAL"
"2018-11-05",0.00659937888198758,24.8,67.2,"VITAL"
"2018-11-06",0.114518633540373,24.8,67.2,"VITAL"
"2018-11-07",0.0927795031055901,24.8,67.2,"VITAL"
"2018-11-08",0.015527950310559,24.8,67.2,"VITAL"
"2018-11-09",0.0722049689440994,24.8,67.2,"VITAL"
"2018-11-10",0.031444099378882,24.8,67.2,"VITAL"
"2018-11-11",0.137422360248447,24.8,67.2,"VITAL"
"2018-11-12",0.205357142857143,24.8,67.2,"VITAL"
"2018-11-13",0.0104813664596273,24.8,67.2,"VITAL"
"2018-11-14",0.135869565217391,24.8,67.2,"VITAL"
"2018-11-15",0.0590062111801242,24.8,67.2,"VITAL"
"2018-11-16",0.0275621118012422,24.8,67.2,"VITAL"
"2018-11-17",0.0368788819875776,24.8,67.2,"VITAL"
"2018-11-18",0.0822981366459627,24.8,67.2,"VITAL"
"2018-11-19",0.118400621118012,24.8,67.2,"VITAL"
"2018-11-20",0.0958850931677019,24.8,67.2,"VITAL"
"2018-11-21",0.0807453416149068,24.8,67.2,"VITAL"
"2018-11-22",0.0582298136645963,24.8,67.2,"VITAL"
"2018-11-23",0.0966614906832298,24.8,67.2,"VITAL"
"2018-11-24",0.104425465838509,24.8,67.2,"VITAL"
"2018-11-25",0.146739130434783,24.8,67.2,"VITAL"
"2018-11-26",0.0093167701863354,24.8,67.2,"VITAL"
"2018-11-27",0.0124223602484472,24.8,67.2,"VITAL"
"2018-11-28",0.0256211180124224,24.8,67.2,"VITAL"
"2018-11-29",0.0388198757763975,24.8,67.2,"VITAL"
"2018-11-30",0.0364906832298137,24.8,67.2,"VITAL"
"2018-12-01",0.0128105590062112,24.8,67.2,"VITAL"
"2018-12-02",0.193711180124224,24.8,67.2,"VITAL"
"2018-12-03",0.0725931677018634,24.8,67.2,"VITAL"
"2018-12-04",0.0337732919254658,24.8,67.2,"VITAL"
"2018-12-05",0.0524068322981366,24.8,67.2,"VITAL"
"2018-12-06",0.222826086956522,24.8,67.2,"VITAL"
"2018-12-07",0.0516304347826087,24.8,67.2,"VITAL"
"2018-12-08",0.114518633540373,24.8,67.2,"VITAL"
"2018-12-09",0.0240683229813665,24.8,67.2,"VITAL"
"2018-12-10",0.0920031055900621,24.8,67.2,"VITAL"
"2018-12-11",0.0298913043478261,24.8,67.2,"VITAL"
"2018-12-12",0.0954968944099379,24.8,67.2,"VITAL"
"2018-12-13",0.0403726708074534,24.8,67.2,"VITAL"
"2018-12-14",0.119565217391304,24.8,67.2,"VITAL"
"2018-12-15",0.0640527950310559,24.8,67.2,"VITAL"
"2018-12-16",0.0861801242236025,24.8,67.2,"VITAL"
"2018-12-17",0.296972049689441,24.8,67.2,"VITAL"
"2018-12-18",0.0772515527950311,24.8,67.2,"VITAL"
"2018-12-19",0.173913043478261,24.8,67.2,"VITAL"
"2018-12-20",0.0613354037267081,24.8,67.2,"VITAL"
"2018-12-21",0.0885093167701863,24.8,67.2,"VITAL"
"2018-12-22",0.0326086956521739,24.8,67.2,"VITAL"
"2018-12-23",0.0170807453416149,24.8,67.2,"VITAL"
"2018-12-24",0.0415372670807453,24.8,67.2,"VITAL"
"2018-12-25",0.106754658385093,24.8,67.2,"VITAL"
"2018-12-26",0.0481366459627329,24.8,67.2,"VITAL"
"2018-12-27",0.123447204968944,24.8,67.2,"VITAL"
"2018-12-28",0.175854037267081,24.8,67.2,"VITAL"
"2018-12-29",0.0411490683229814,24.8,67.2,"VITAL"
"2018-12-30",0.0279503105590062,24.8,67.2,"VITAL"
"2018-12-31",0.217003105590062,24.8,67.2,"VITAL"
"2019-01-01",0.0741459627329192,24.8,67.2,"VITAL"
"2019-01-02",0.0477484472049689,24.8,67.2,"VITAL"
"2019-01-03",0.147127329192547,24.8,67.2,"VITAL"
"2019-01-04",0.127329192546584,24.8,67.2,"VITAL"
"2019-01-05",0.093555900621118,24.8,67.2,"VITAL"
"2019-01-06",0.130434782608696,24.8,67.2,"VITAL"
"2019-01-07",0.314829192546584,24.8,67.2,"VITAL"
"2019-01-08",0.0201863354037267,24.8,67.2,"VITAL"
"2019-01-09",0.0244565217391304,24.8,67.2,"VITAL"
"2019-01-10",0.168866459627329,24.8,67.2,"VITAL"
"2019-01-11",0.0543478260869565,24.8,67.2,"VITAL"
"2019-01-12",0.0263975155279503,24.8,67.2,"VITAL"
"2019-01-13",0.0819099378881988,24.8,67.2,"VITAL"
"2019-01-14",0.0128105590062112,24.8,67.2,"VITAL"
"2019-01-15",0.25388198757764,24.8,67.2,"VITAL"
"2019-01-16",0.24611801242236,24.8,67.2,"VITAL"
"2019-01-17",0.101319875776398,24.8,67.2,"VITAL"
